model_name,horizon_step,mae,rmse
MLPForecaster,1,2.4732096195220947,4.284345626831055
MLPForecaster,2,2.5208327770233154,4.378087043762207
MLPForecaster,3,2.612759590148926,4.57494592666626
MLPForecaster,4,2.7101616859436035,4.801908016204834
MLPForecaster,5,2.8270020484924316,5.054588794708252
MLPForecaster,6,2.8712222576141357,5.202427864074707
MLPForecaster,7,2.8946022987365723,5.293607234954834
MLPForecaster,8,2.920637607574463,5.354013919830322
MLPForecaster,9,2.9113717079162598,5.392345905303955
MLPForecaster,10,2.9630038738250732,5.515072345733643
CNN1DForecaster,1,2.75518798828125,4.95929479598999
CNN1DForecaster,2,2.769197702407837,5.027907371520996
CNN1DForecaster,3,2.863964557647705,5.22983455657959
CNN1DForecaster,4,2.90665864944458,5.3865885734558105
CNN1DForecaster,5,2.933627128601074,5.531611442565918
CNN1DForecaster,6,2.9599802494049072,5.636464595794678
CNN1DForecaster,7,3.017576217651367,5.800552845001221
CNN1DForecaster,8,3.119640588760376,6.071646690368652
CNN1DForecaster,9,3.2543301582336426,6.452646732330322
CNN1DForecaster,10,3.4381155967712402,6.948850631713867
GRUForecaster,1,2.403228759765625,4.2756500244140625
GRUForecaster,2,2.4106595516204834,4.328362941741943
GRUForecaster,3,2.4548563957214355,4.4277424812316895
GRUForecaster,4,2.5152587890625,4.579827785491943
GRUForecaster,5,2.569960117340088,4.746846675872803
GRUForecaster,6,2.66398024559021,4.958490371704102
GRUForecaster,7,2.7098989486694336,5.073879718780518
GRUForecaster,8,2.7592933177948,5.201298713684082
GRUForecaster,9,2.8545498847961426,5.373904705047607
GRUForecaster,10,2.937832832336426,5.536184787750244
LSTMForecaster,1,2.2400119304656982,3.997121810913086
LSTMForecaster,2,2.2629501819610596,4.077889919281006
LSTMForecaster,3,2.300739288330078,4.213191986083984
LSTMForecaster,4,2.366751194000244,4.471078395843506
LSTMForecaster,5,2.424013614654541,4.666351795196533
LSTMForecaster,6,2.4818613529205322,4.84058141708374
LSTMForecaster,7,2.5264997482299805,4.987612247467041
LSTMForecaster,8,2.5645248889923096,5.084684371948242
LSTMForecaster,9,2.6212921142578125,5.213640213012695
LSTMForecaster,10,2.6887505054473877,5.334529399871826
